id,text,gold_label
54,"শুধু বুয়েটে কেন হবে , সারা বাংলাদেশের বিশ্ববিদ্যালয় গুলোতে রাজনীতি বন্ধ করতে হবে । ছাত্রদের রাজনীতির সুফল তো দেখতে পারছি না",Positive
55,খাগডহর এলাকা থেকে অস্ত্রসহ ৪ জঙ্গি আটক,Positive
56,কে যেন একবার বলছিল বাংলাদেশ নাকি কানাডার মত হয়ে গেছে ! !,Neutral
57,প্রথমবারের মতো ঢাকা-মালদ্বীপ সরাসরি ফ্লাইট,Positive
58,আর এত খেয়ে একটু পান খাবেন না ? লাভলেন বা লালখান বাজারে গিয়ে একটা ২০ অথবা ৩০ টাকা দামের পান ঢুকিয়ে দিবেন,Positive
59,"গোলাবারুদই তো মারছে , এটম তো আর মারেনি",Negative
60,"আমি মাননীয় প্রধানমন্ত্রীকে বলবো আপনি সর্বপ্রথম বাংলাদেশকে ঘুষ মুক্ত বাংলাদেশ ঘোষণা দেন , তবেই আমাদের দেশ সামনের দিকে এগিয়ে যাবে",Positive
61,হনুমানের জাত হনুমান চাইবো নাতে কি হাতি চাইব,Negative
62,পুলিশ হলো মালখোর মাল দেবে যে তাঁর কথাই বলবে,Negative
63,"জাতিসংঘের মহাসচিব যদি মানুষ হত , , তবে এই মূখ কথা বলতে পারতো না , ,",Negative
64,ভাই আপনার মাধ্যমে আমরা বিদেশে বসে শিলিগুড়ি ও দার্জিলিং দেখতেপেলাম । আমার একটা প্রশ্নঃ এই যে বাস গুলোতে কি টয়লেটের কি ব্যবস্থা আছেকি ? এই ব্যাপারে কিছু বলেন । ভালো থাকেন । আল্লাহ,Positive
65,দুর্নীতিবাজদের বিরুদ্ধে একশন নিলে গদি থাকবে না - বক্তব্যটি এই বার্তাই দিচ্ছে । বাংলাদেশ আওয়ামী লীগের সবাই শিক্ষিত । আর আমরা বাংলাদেশের জনগণ সবাই মূর্খ ।,Negative
66,চেহারা এমন ৫ হইয়া গেল কেন ! ! !,Negative
67,ডাউনলোড করলে যা হয় আর কি ।,Neutral
68,"ভাই , এয়ারপোর্টে ইমিগ্রেশনে কোনো সমস্যা করবে নাতো",Positive
69,Bakar Siddique তো ভাই তখনকার ইসলাম এখন মানেন কেনো । ইসলাম সম্পর্কে কোনো ধারনা আছে আপনার থাকলে তখনকার তখনকার করতেন না ।,Neutral
70,"সবজি , হালুয়া , ডাল , দই এসব প্রায় সব রেষ্টুরেন্টে পাবেন । এর বেশি ভেজ সকালে আর হয় না । আমাদের এখানে মিষ্টির দোকান গুলোতে সকালে নাস্তা করা যায় ওখানে দই মিষ্টি ও পাবেন",Neutral
71,এই তো দেখি এরশাদ শিকদারের মত হাহাহা যদি ঠিক মতন বিচার হয় তাহলে এরশাদ শিকদারের মতোই মরতে হবে ফাঁসিতে,Neutral
72,পাপন তো দেখছি দোগলা ব্যক্তি । যেন দোমুখো সাপ । একমুখে রাম নাম আরেক মুখে রাজ্যের গালি । লোকটার প্রতি শ্রদ্ধা হারিয়ে ফেললাম,Negative
73,শরিরটাকে শুকনা শুকনা মনে হচ্ছে,Neutral
74,"চাকরিপ্রার্থীর কাছ থেকে প্রয়োজনীয় কাগজপত্রসহ আবেদনপত্র নেওয়ার পর প্রার্থীকে জানানো হয় , আপনাকে একটি",Positive
75,সম্রারের পেছনের লোককে ধরতে হবে,Neutral
76,সাধারন্ত এতো বেশী প্রশ্নের উত্তর দেবার সময় হয় না ভাইয়া :,Neutral
77,তিনিত বাংলাদেশের মানুষ ছিল,Positive
78,"কাজের শুরুতে বিসমিল্লাহ , আলহামদুলিল্লাহ , ইনশাআল্লাহ প্রশংসা বাচক শব্দের ব্যবহার ! সত্যি অসাধারণ ! আপনার ভিডিওগুলো যত দেখছি মুগ্ধ হচ্ছি",Positive
79,ওই পুলিশদের উপযুক্ত শাস্তি হওয়া প্রয়োজন এরকম পুলিশ না থাকলে ভালো হয় আমাকে এরকম একবার হাসাতে চেয়েছিল আল্লাহ বাঁচিয়েছে,Negative
80,"রাজশাহী বিভাগে মৃত্যু দাঁড়ালো ৭৩৯ , আক্রান্ত ৪৮ হাজার https://t.co/gt5zAsHIrX",Negative
81,"সপ্তাহে একদিন ক্লাস । এটাও বলে দিন । বাঙালীকে যে যেভাবে বুঝাতে পারে , , , , ,",Negative
82,বাজের ত লিমিট আছে ঐটার কোন লিমিট নাই,Neutral
83,#ব্রেকিং_নিউজ : করোনায় ২৪ ঘণ্টায় বাড়লো মৃত্যু ও শনাক্ত...,Negative
84,Naeem @ আপনি আম আর আমড়া এক করে ফেলেছেন ! যে সকল বাচ্চা পড়তে পাচ্ছে না তা সেই দেশের সরকারের সমস্যা কিন্তু নারী যারা সমাজের ৫০% তাদের ঘরে আটকে রাখার যুক্তি কি ?,Neutral
85,"সত্যিই ভুটানের মনোরম পরিবেশে যে কেউই আনন্দিত হবে । যাঁদের গায়ে রোগের প্রকোপ । ; অর্থাৎ । , ব্লাড প্রেসার , হই প্রেসার , সুগার । প্রভৃতি ভালো হয়ে যেতে পারে । , যদি না কেউ ভূটান মিস না করে",Positive
86,"তারমানে , ঘরে পর্যাপ্ত চাল ছিল কিন্তু ম্যাচের কাঠি না থাকায় অনাহারে মারা গেছে",Neutral
87,"যারা স্বল্প মূল্যে সকল সিমের অফার নিতে চান , তারা গ্রুপে জয়েন করুন ।",Neutral
88,বলদ বাম হাত দিয়া খায় ছাগলের তিন নম্বর বাচ্চা,Negative
89,"মাশরাফি দলে থাকলে , দলে রাজনৈতিক কাজ করে । তবে আশা করি কোনো জাগাতে না রাখা হউক",Negative
90,এর জন্য সরকারি চাকরীই দায়ী । সমাজে সরকারি চাকুরীজীবিদের যে মর্যাদা দেয়া হয় অন্যান্য পেশার লোকদের সে মর্যাদা দেয়া হয় না । সরকারের উচিৎ সরকারি সেক্টরগুলোকে বেসরকারি সেক্টর এ পরিণত করা । তাহলে শিক্ষিত বেকার যারা আছে তারা প্রাইভেট কম্পানিতে job করতে আগ্রহী হবে ।,Neutral
91,"সর্বপ্রথম আমি ধন্যবাদ জানাই মাননীয় প্রধানমন্ত্রীকে , তিনি বর্তমানে মাদক এবং দূর্নীতি বিরুদ্ধে যে অভিযান চালিয়েছে এবং কিছু দূর্নীতিবাজ লোকদেরকে গ্রেফতার করেছে",Positive
92,ঈদের দিন বন্ধ থাকবে যাত্রীবাহী ট্রেন https://t.co/LnEflLZQhA,Positive
93,"এই যে মহিল্লা , তুমি কি কাপড় পরে উপস্থাপন করেন , এটা ভারত না , ৯৬% মুসলমান দেশ",Negative
94,৮ মাস বয়সী শিশুর শরীরেও মিলেছে ডেল্টা ভ্যারিয়েন্ট !,Negative
95,দুর্নীতির সূতিকাগার আমার এই সোনার বাংলায় ঠিক এভাবেই দুর্নীতিকে উৎসাহিত করা হচ্ছে । খুবই দুঃখজনক ।,Negative
96,আগের স্ত্রীকে তালাক না দিয়েই মাহিকে বিয়ে করলেন সাবেক ছাত্রলীগ নেতা ! https://t.co/ciQ3ybsse5,Negative
97,ভাই কিভাবে এত্ত ফেট লস করলেন একটি ভিডিও দেন,Positive
98,স্পা ওস্পা সব ধংস করে দিবে সরকার । ইনশাআল্লাহ,Neutral
99,"বাহাদুরি আলাপ করছেন , কালকে আপনাকে পুলিশে বড় পোষ্টে নিয়োগ দিলে আপনিই ঘোষ খাওয়া শুরু করে দিবেন , আমি দেখেছি পুলিশ প্রশাসনে অনেক ভাল লোক ও আছে যাদেরকে টাকা দিয়ে কিনতে পারবেন না । সব লোক খারাপ নয়",Neutral
100,দেবো ছুধন ( ছুট্ট ধন ),Positive
101,"দেশে করোনায় আরও ৩২ জনের মৃত্যু; প্রাণহানি বেড়ে ৪ , ৩৮৩ জন; ১৪ , ৪৪২ নমুনা পরীক্ষা",Neutral
102,কক্সবাজার বিমানবন্দর: বঙ্গোপসাগরের অংশ ভরাট করে যেভাবে বাড়ানো হচ্ছে রানওয়ে,Negative
103,"ভাই আপনি সবাইকে দেখিয়ে দেখিয়ে খাবার খান , আপনার কি নজর লাগেনা বা পেট এ অসুখ হয় নি",Neutral
104,"রসুনে গজাবে চুল , জানুন পদ্ধতি",Positive
105,"পাছায় নাই ছাল থেকে বাকলা , তিন থেকে কলা খাই একলা একলা",Negative
106,সন্দেহজনক ভাবে সৌদি নাগরিক যদি জড়িত থাকেন তাহলে আফগানিস্তানের জনগন কি দোষ করেছিল ? তাদের উপর কেন যুদ্ধ চাপিয়ে দেওয়া হয়েছে ?,Neutral
107,দুদেশের প্রধানমন্ত্রীদের বৈঠকে কোন বিষয় নিয়ে আলোচনা হবে ?,Positive
108,"সম্পূর্ণ নিজের মতো করে চলা একজন মানুষ ছিলেন নাদির শাহ । যা মনে আসত , বলে ফেলতেন । ঘোরপ্যাঁচ কী জিনিস জানতেন না । মানুষই",Positive
109,"দশ টাকার লেবুচুর খাইতে মোট কত খরচ হল ভাই অাপনার ? দারুন হয়েছে ভিডিওটা । ঢাকা থেকে অামরা কিভাবে যাব ? বোমভাযা , ভাংচুর খেতে হবে",Neutral
110,সম্রাট এর কার্যকলাপ এরশাদ শিকদার কে হার মানিয়েছে,Neutral
111,আওয়ামী বংশধর !,Neutral
112,এটা ভালো করে একটা তদন্ত করা প্রয়োজন এদেরকে আইনের আওতায় এনে ব্যবস্থা করা উচিত শিশুদের সাথে চলার পথে মানুষ অনেক খারাপ ব্যবহার করে মানুষের মনুষ্যত্ব হারিয়ে গেছে ।,Positive
113,"কর্মস্থলে ফেরা যাত্রীদের সংখ্যা হাতেগোনা , ভিড় বাড়বে কাল https://t.co/3VX1WGo88v",Positive
114,Zeotry.,Neutral
115,সেতুর সংযোগ সড়ক ভেঙে যান চলাচল বন্ধ...,Negative
116,বাট আপনি এতো স্কিনি হলেন কেমনে,Positive
117,বাঘের বাচ্ছা নুর । আসল ঘটনা সমনে আনার জন্য ধন্যবাদ,Neutral
118,কাঁচা রসুন না খেলে কি হয়,Neutral
119,মেয়র প্রার্থীরা কে কোথায় ভোট দিলেন,Neutral
120,amgirতোকে সৌদি আরব ও আমেরিকার ভিসা দিলে তুই কোনটা নিবি ? সত্যি করে বল ?,Neutral
121,"কেউ বলে ৫৪৩ দিন পর কেউ বলে ৫৪৪ দিন পর স্কুল খুলল , আসল ডেট কত ? ? জানা দরকার , যদি বিসিএস প্রশ্নে আসে ?",Neutral
122,বঙ্গবন্ধুর হত্যার বিচারের মাধ্যমে দেশে ন্যায়বিচার প্রতিষ্ঠিত হয়েছে: প্রধানমন্ত্রী,Negative
123,একদম না । এখানে সব হারাম খাবার খাওয়ানো হয় । হারাম হালাল যদি বিচার না করেন তো আসেন । কিন্তু এসে পরিবেশ নোংরা করবেন না,Neutral
124,"আমেরিকা নির্বাচনের রেজাল্ট নিয়ে বড় বড় শহরে চরম উত্তেজনা চলছে , বিক্ষোভ , ভাংচুর ও আটকের ঘটনাও ঘটছে । বিস্তারিত --",Negative
125,মৃত্যুদণ্ডপ্রাপ্তদের কনডেম সেলে রাখার রিটের শুনানি ১২ সেপ্টেম্বর,Positive
126,"* করোনায় আরো ২২ জনের মৃত্যু; মোট প্রাণহানি ৮ , ০০৩ * নমুনা পরীক্ষা ১১ , ১১৫; নতুন রোগী ৪৩৬…",Negative
127,না ভাই আপনার ভিডিও দেখা যাবে না । আপনার ভিডিও দেখে আমার ও খাই তে ইছা করে,Positive
128,""" আমি দাজিলিং শিমলা মানালীর অনেক ভিডিও দেখেছি কিন্তু কোনটা জেলায় তাই বোঝতে পারি নাই কিন্তু আজ অনেকটাই ক্লিয়ার হয়ে গেলাম আপনার ভিডিও দেখে শুনে । """,Positive
129,অপকর্মের সাথে পুলিশ জড়িত থাকবে এটা তো কমন বিষয়,Negative
130,"আশ্চর্য স্যোসাল মিডিয়াতে মাননীয় প্রধানমন্ত্রীর বক্তব্য ৯৯% পাঠকের কাছে অবিশ্বাস্য , কেন ? উনি নিজকে জনগণের সেবক বলে দাবি করেন । জনগণের জন্য অনেক ভালো সেবা মূলক কাজও করেন , তারপরও স্যোসাল মিডিয়া তে উনাকে নিয়ে কেউ প্রশংসা করে না ।",Neutral
131,টিকটকে ভিডিও বানানোর কথা বলে স্কুলছাত্রীকে আটকে রেখে গণধর্ষণ,Negative
132,আমার কলেজ এর সামনে সুলতানস ডাইন । সত্যিই অনেক মজা । রাইফেলস স্কয়ার খাবার গুলো ট্রাই করে দেখতে পারেন,Positive
133,মান্নার মুরগীর মাংসের ভর্তা খেয়ে দেখতে পারতেন,Neutral
134,এটা সোমালিয়া-ইথিওপিয়া নয় যে ভোটে জাতিসংঘের সহায়তা লাগবে,Positive
135,Ruzy Marfua তোর ও ক্লাস আছে ?,Neutral
136,১০০ বছর আগে ব্রিটিশদের হাত থেকে সম্পূর্ণ স্বাধীন হয়ে এখন পর্যন্ত অন্তত ১৮ বার বদলেছে আফগানিস্তানের পতাকা । এবার আবা,Negative
137,ঢাবির আইবিএর ভর্তি পরীক্ষার নতুন তারিখ ৩০ জুলাই https://t.co/WHwv9FVlHp,Positive
138,রবিউল আউওয়াল মাসের ১২ তারিখে জন্মগ্রহণ করেন,Neutral
139,"সেলের দিক থেকেই কিন্তু আইফোন নাম্বার ওয়ান ! 2019 এ দেখেন সবচেয়ে বেশি সেল হয়েছে আইফোনের লো বাজেটের ফোন এস আর , শীর্ষ দশে আছে আইফোনের আরও তিনটি ফোন আর বাকি সাতটি হলো লো বাজেটের ফোন",Positive
140,"ভাই উচ্চারণটা চট্টলা , চট্টগ্রামের উচ্চারণের মত চট্রলা না ভাইয়া",Neutral
141,যেখানে মানুষ বিচার পায় না সেখানে আবার হনুমান বিচার পাবে,Negative
142,"চট্টগ্রামের শাসনভার গ্রহণের পর ব্রিটিশরাজ সেখানে যত ভবন নির্মাণ করেছিল , তার মধ্যে পুরোনো ও স্থাপত্যশিল্পের অন্যতম",Positive
143,একটা পুলিশ যদি ভালো থাকতো এটা নাকি স্বাধীন বাংলাদেশ এটা আমার অংহকার ভাই দেশ রক্ষা করবে নাকি বাংলাদেশ পুলিশ হাইরে পুলিশ,Negative
144,রাজধানীর উত্তরা পূর্ব থানায় এক মাদক মামলার আসামি পুলিশ হেফাজত মৃত্যু...,Negative
145,S.R. Mahmod আগে ব্যাংকে চাকরি করেন তারপর বাণী ছাইড়েন । ঢাকার কেরাণীগঞ্জে একমাস চাকরী করলে সব সাধ মিটে যাবে ।,Neutral
146,"ভাই , আমি আগে কখনো যাইনি । এই জন্যই জানতে চাইছিলাম যে , ইমিগ্রেশনের সময় কি ডক্টর এ্যাপয়েনমেন্ট লেটার দেখতে চায় কিনা । কারণ যেহেতু এটা মেডিকেল ভিসা , তাই",Positive
147,ভাইয়া আমি আপনার সব ভিডিও দেখি অনেক ভালো লাগে তবে রিকুয়েষ্ট রইলো আমাদের পুরান ঢাকা কেরানিগঞ্জ যাবেন সেই খাবে আন্ডারগ্রাউন্ড একটা ফুসকার দোকান আছে প্লিজ রিকুয়েষ্ট রইলো☺☺☺,Positive
148,এতো ভয় কেন. ?,Neutral
149,রামেক হাসপাতালের করোনা ইউনিটে আরও ২২ জনের মৃত্যু https://t.co/QCSluaEJIo,Negative
150,"ইন্ডিয়া পরিবর্তন এনেছে , বাংলাদেশ আনবেনা তাকি হয় ?",Neutral
